user_index,item_index,rating
0,0,5
0,1,5
0,2,5
0,3,5
0,4,5
0,5,5
0,6,5
0,7,5
0,8,5
0,9,5
0,10,5
0,11,5
0,12,5
0,13,5
0,14,5
0,15,5
0,16,5
0,17,5
0,18,5
0,19,5
0,20,5
0,21,5
0,22,5
0,23,5
0,24,5
0,25,5
0,26,5
0,27,5
0,28,5
0,29,5
0,30,5
0,31,5
0,32,5
0,33,5
0,34,5
0,35,5
0,36,5
0,37,5
0,38,5
0,39,5
0,40,5
0,41,5
0,42,5
0,43,5
0,44,5
0,45,5
0,46,5
0,47,5
0,48,5
0,49,5
1,50,5
1,51,4
1,52,4
1,53,4
1,54,4
1,55,3
1,56,3
1,57,3
1,58,3
1,59,3
1,60,3
1,61,3
1,62,2
1,63,2
1,64,2
1,65,2
1,66,2
1,67,2
1,68,2
1,69,2
1,70,2
1,71,2
1,72,2
1,73,2
1,74,2
1,75,2
1,76,2
1,77,2
1,78,2
1,79,2
1,80,2
1,81,1
1,82,1
1,83,1
1,84,1
1,85,1
1,86,1
1,87,1
1,88,1
1,89,1
1,90,1
1,91,1
1,92,1
1,93,1
1,94,1
1,95,1
1,96,1
1,97,1
1,98,1
1,99,1
2,0,3
2,2,4
2,13,4
2,14,3
2,19,4
2,21,5
2,26,4
2,100,5
2,101,5
2,102,5
2,103,5
2,104,5
2,105,4
2,106,4
2,107,4
2,108,4
2,109,4
2,110,4
2,111,4
2,112,4
2,113,4
2,114,4
2,115,4
2,116,4
2,117,4
2,118,4
2,119,4
2,120,4
2,121,3
2,122,3
2,123,3
2,124,3
2,125,3
2,126,3
2,127,3
2,128,3
2,129,3
2,130,3
2,131,3
2,132,3
2,133,3
2,134,3
2,135,3
2,136,3
2,137,3
2,138,3
2,139,3
2,140,3
2,141,3
2,142,3
3,2,2
3,103,5
3,122,3
3,131,3
3,139,5
3,143,5
3,144,4
3,145,4
3,146,4
3,147,4
3,148,4
3,149,3
3,150,3
3,151,3
3,152,3
3,153,3
3,154,3
3,155,3
3,156,3
3,157,3
3,158,3
3,159,3
3,160,3
3,161,3
3,162,3
3,163,3
3,164,3
3,165,3
3,166,2
3,167,2
3,168,2
3,169,2
3,170,2
3,171,2
3,172,2
3,173,2
3,174,2
3,175,2
3,176,2
3,177,2
3,178,2
3,179,2
3,180,2
3,181,2
3,182,2
3,183,2
3,184,2
3,185,2
3,186,2
3,187,2
4,26,1
4,188,1
4,189,1
4,190,1
4,191,1
4,192,1
4,193,1
4,194,1
4,195,1
4,196,1
4,197,1
4,198,1
4,199,1
4,200,1
4,201,1
4,202,1
4,203,1
4,204,1
4,205,1
4,206,1
4,207,1
4,208,1
4,209,1
4,210,1
4,211,1
4,212,1
4,213,1
4,214,1
4,215,1
