user_id,song_id,rating
1,1,5
1,86,5
1,76,5
1,6,4
1,41,4
1,26,5
1,56,5
1,16,5
2,87,5
2,7,4
2,27,5
2,2,5
2,52,5
2,37,5
2,22,4
2,62,5
3,68,4
3,78,5
3,23,5
3,43,5
3,48,5
3,88,5
3,28,5
3,53,5
4,89,4
4,14,4
4,29,4
4,64,4
4,19,4
4,4,4
4,49,4
4,94,5
5,95,5
5,50,4
5,70,4
5,30,5
5,45,5
5,20,4
5,85,4
5,10,5
6,51,5
6,6,5
6,16,4
6,96,4
6,56,4
6,61,5
6,26,4
6,41,4
7,37,5
7,47,5
7,2,5
7,42,5
7,87,5
7,67,5
7,7,5
7,57,5
8,58,5
8,8,5
8,73,4
8,38,4
8,23,5
8,83,5
8,48,5
8,28,5
9,74,4
9,29,5
9,19,4
9,54,4
9,79,4
9,99,5
9,64,5
9,49,4
10,50,5
10,45,4
10,35,4
10,75,5
10,70,5
10,15,4
10,100,5
10,65,4
11,51,5
11,21,5
11,16,5
11,96,4
11,56,5
11,26,5
11,66,4
11,61,5
12,92,5
12,7,5
12,67,5
12,87,5
12,37,5
12,97,4
12,27,5
12,17,5
13,33,5
13,83,4
13,38,4
13,93,5
